,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
283,136,0,3,450,2,0,1961,8.15,8,99,2,8
284,93,1,2,451,0,1,1967,5,5,9,3,5.2
285,90,0,0,452,0,0,1988,6,8,3,0,7
286,91,0,2,455,0,0,1970,2,4,13,1,3.1
287,99,1,2,457,0,0,1968,5.5,6,11,1,5.7
288,95,0,2,458,1,3,1986,6,1,3,1,3.5
289,158,2,3,459,1,4,1990,7.14,8,51,3,7.6
290,107,2,3,461,1,1,1930,8.5,8,104,3,8.4
291,95,1,2,462,0,2,1955,6.71,7,28,3,6.8
292,88,1,2,464,0,1,1991,3.75,4,18,2,4.1
293,95,0,3,465,1,0,1990,4,6,11,1,5.1
294,83,0,1,473,0,2,1946,7.17,7,21,1,6.9
295,81,0,2,475,1,0,1952,6,6,4,1,6
296,109,2,4,478,2,3,1944,7.82,8,84,4,7.8
297,105,0,1,480,1,0,1971,5,6,9,1,5.3
298,103,0,2,481,0,1,1946,7.22,7,37,2,7
299,107,1,2,482,1,2,1957,7.45,8,42,3,7.5
300,84,0,2,483,1,0,1987,4,3,20,0,3.6
301,72,0,3,484,3,0,1939,5.6,6,19,0,5.6
302,105,0,3,485,0,3,1946,7.5,6,28,2,6.8
303,86,0,1,486,2,0,1984,7.33,6,21,0,6.5
304,108,0,2,487,0,1,1947,8,8,39,3,8
305,112,0,2,490,0,1,1962,6,6,14,2,6.1
306,102,0,0,491,0,0,1920,7.33,7,11,0,7.3
307,144,1,2,492,0,2,1970,7.33,6,15,2,6.6
308,107,0,3,493,2,5,1962,8.82,8,106,4,8.6
309,128,1,3,494,1,0,1946,8,6,7,1,7
310,123,1,2,495,0,0,1947,7.25,7,16,2,7.1
311,95,1,3,496,0,2,1935,7.11,8,28,1,7.5
312,98,1,3,498,1,2,1987,7.33,6,20,2,6.8
313,106,2,4,499,2,5,1981,7.5,8,35,5,7.8
314,106,0,2,500,2,1,1953,7.2,8,8,0,7.6
315,104,0,3,501,2,3,1976,7.94,8,79,1,7.8
316,110,0,2,502,1,3,1981,8,7,9,3,7.6
317,110,0,2,505,3,3,1962,7.73,8,66,1,7.8
318,120,1,3,506,2,3,1981,8,8,135,3,7.8
